28.006,27.997,27.986,27.96,27.901,27.763,27.451,26.771,25.414,26.355,26.397,26.461,26.542,26.635,26.736,26.84,26.945,27.047,27.145,27.238,27.324,27.403,27.475,27.54,27.598,27.65,27.695,27.736,27.772,27.803,27.83,27.854,27.874,27.892,27.908,27.921,27.765,27.601,27.332,26.908,26.271,25.386,24.28,23.06,21.888,20.917,20.241,19.879,19.799,19.942,20.244,20.648,21.111,21.599,22.088,22.564,23.018,23.444,23.839,24.205,24.541,24.849,25.13,25.386,25.62,25.833,26.026,26.203,26.363,26.509,26.642,26.763,26.874,26.974,27.065,27.148,27.224,27.293,27.356,27.413,27.466,27.513,27.556,27.596,27.632,27.665,27.695,27.722,27.747,27.77,27.791,27.81,27.827,27.843,27.858,27.872,27.885,27.899,27.915,27.935,27.962,28.006
1115.6,1115.3,1114.8,1113.8,1111.4,1105.9,1093.1,1064.4,1003.7,1046.2,1048.1,1050.9,1054.4,1058.5,1062.8,1067.3,1071.8,1076.2,1080.3,1084.2,1087.8,1091.1,1094.1,1096.7,1099.1,1101.2,1103.1,1104.8,1106.2,1107.5,1108.6,1109.5,1110.4,1111.1,1111.7,1112.2,1105.9,1099.3,1088.2,1070.2,1042.5,1002.4,950.32,891.48,834.81,788.49,756.8,740.09,736.43,742.98,756.94,775.83,797.67,820.92,844.45,867.46,889.44,910.07,929.19,946.75,962.77,977.32,990.5,1002.4,1013.2,1022.8,1031.6,1039.5,1046.6,1053,1058.8,1064,1068.8,1073.1,1076.9,1080.5,1083.6,1086.5,1089.2,1091.5,1093.7,1095.7,1097.4,1099.1,1100.5,1101.9,1103.1,1104.2,1105.2,1106.1,1107,1107.7,1108.4,1109.1,1109.7,1110.2,1110.8,1111.4,1112,1112.8,1113.9,1115.6
8.2919,3.2187,3.2096,3.2023,3.1993,3.2062,3.2358,3.3154,3.499,3.6101,3.7181,3.8214,3.9187,4.009,4.0919,4.1671,4.2346,4.2945,4.3472,4.3932,4.433,4.4669,4.4957,4.5198,4.5396,4.5558,4.5686,4.5785,4.5859,4.591,4.5942,4.5956,4.5956,4.5943,4.5919,4.5885,4.5963,4.6161,4.6553,4.7259,4.8445,5.0314,5.3069,5.6833,6.1593,6.7192,7.3384,7.9896,8.6483,9.295,9.9159,10.502,11.049,11.554,12.017,12.441,12.826,13.176,13.494,13.783,14.044,14.28,14.495,14.69,14.866,15.026,15.171,15.303,15.423,15.532,15.631,15.721,15.802,15.877,15.945,16.006,16.062,16.114,16.16,16.203,16.241,16.276,16.308,16.338,16.364,16.388,16.41,16.43,16.448,16.462,16.474,16.48,16.476,16.456,16.402,16.282,16.033,15.524,14.496,12.432,8.2919,8.2919
0,0.00018409,0.00043057,0.0010053,0.0023373,0.0053823,0.012124,0.026008,0.050445,0.031693,0.03,0.028061,0.025972,0.023815,0.021661,0.019561,0.017555,0.015668,0.013918,0.012312,0.010851,0.0095341,0.0083537,0.0073019,0.0063693,0.0055458,0.0048211,0.0041855,0.0036294,0.0031439,0.002721,0.0023532,0.0020337,0.0017566,0.0015166,0.0013087,0.0037189,0.0062181,0.010207,0.016267,0.024785,0.035444,0.046805,0.056659,0.063183,0.065805,0.065091,0.0621,0.057837,0.053035,0.048155,0.043458,0.039078,0.035072,0.03145,0.028201,0.025298,0.022711,0.020408,0.018356,0.016529,0.014898,0.013442,0.012139,0.010973,0.0099268,0.0089872,0.0081423,0.0073815,0.0066957,0.0060769,0.0055179,0.0050126,0.0045553,0.0041413,0.0037661,0.003426,0.0031174,0.0028373,0.002583,0.0023519,0.0021419,0.001951,0.0017773,0.0016194,0.0014756,0.0013448,0.0012257,0.0011173,0.0010185,0.00092855,0.0008466,0.00077194,0.00070392,0.00064194,0.00058547,0.00053404,0.00048723,0.00044466,0.00040603,0.00037113,0
0,10,23.407,54.748,127.83,297.24,684.67,1543.4,3316.8,6466.4,6101.5,5679.9,5225.3,4758.5,4295.8,3849.6,3428.2,3036.9,2678.4,2353.4,2061.4,1800.8,1569.7,1365.7,1186.4,1029.1,891.76,771.96,667.7,577.12,498.53,430.41,371.44,320.43,276.33,238.24,205.35,347.38,581.32,955.6,1526.7,2335.6,3360.4,4473,5459,6119.5,6367.3,6240.1,5846.2,5304.5,4709.6,4123.8,3581.4,3097.8,2676.1,2313.4,2003.8,1740.3,1516.3,1325.6,1162.8,1023.3,903.42,799.91,710.19,632.11,563.92,504.13,451.54,405.13,364.06,327.62,295.21,266.31,240.49,217.38,196.66,178.05,161.32,146.25,132.67,120.41,109.34,99.326,90.266,82.062,74.627,67.886,61.771,56.22,51.179,46.6,42.438,38.655,35.215,32.085,29.239,26.649,24.294,22.153,20.21,0
0,18.407,43.044,100.45,233.33,536.05,1201,2545.1,4808,2868.3,2629.1,2385.4,2145.8,1916.6,1701.7,1503.4,1322.8,1159.9,1014.2,884.68,770.15,669.32,580.86,503.49,435.97,377.18,326.08,281.72,243.27,209.97,181.15,156.24,134.71,116.12,100.07,86.228,244.71,407.63,664.94,1048.9,1572.2,2192.6,2792.8,3222.5,3390,3307.6,3056.4,2726.2,2381.4,2057.4,1769,1519.6,1307,1127.2,975.34,847.07,738.46,646.17,567.44,499.99,441.94,391.76,348.2,310.23,277.02,247.86,222.17,199.47,179.36,161.5,145.59,131.4,118.7,107.33,97.135,87.969,79.723,72.293,65.593,59.544,54.077,49.132,44.657,40.603,36.929,33.596,30.573,27.828,25.335,23.069,21.01,19.138,17.436,15.887,14.478,13.196,12.03,10.969,10.006,9.1329,8.3444,0
1e+05,99990,99972,99929,99828,99595,99059,97858,95313,90505,87636,85007,82622,80476,78559,76858,75354,74032,72872,71857,70973,70203,69533,68952,68449,68013,67636,67310,67028,66785,66575,66394,66237,66103,65986,65886,65800,65555,65148,64483,63434,61862,59669,56876,53654,50264,46956,43900,41174,38792,36735,34966,33446,32139,31012,30037,29190,28451,27805,27238,26738,26296,25904,25556,25246,24969,24721,24499,24299,24120,23958,23813,23681,23563,23455,23358,23270,23190,23118,23052,22993,22939,22890,22845,22804,22768,22734,22703,22676,22650,22627,22606,22587,22570,22554,22539,22526,22514,22503,22493,22484,1e+05
0,0,4.99,16.67,43.989,107.78,256.1,597.75,1367.9,3023,6249.7,9294.4,12129,14736,17111,19254,21175,22886,24401,25738,26912,27941,28839,29623,30304,30896,31410,31855,32240,32573,32861,33110,33324,33510,33670,33808,33927,34029,34202,34492,34969,35731,36897,38573,40805,43529,46583,49760,52874,55791,58438,60788,62846,64633,66179,67514,68669,69669,70537,71294,71955,72536,73046,73497,73896,74251,74566,74847,75099,75324,75526,75708,75872,76019,76152,76272,76380,76478,76567,76648,76721,76787,76847,76902,76951,76996,77037,77074,77108,77139,77167,77193,77216,77237,77256,77274,77290,77304,77318,77330,77341,0
0,0,0.01,0.033407,0.088155,0.21598,0.51322,1.1979,2.7413,6.058,12.524,18.626,24.306,29.531,34.29,38.585,42.435,45.863,48.9,51.578,53.932,55.993,57.794,59.364,60.73,61.916,62.945,63.837,64.609,65.276,65.854,66.352,66.783,67.154,67.474,67.751,67.989,68.194,68.542,69.123,70.079,71.605,73.941,77.301,81.774,87.233,93.353,99.72,105.96,111.81,117.11,121.82,125.94,129.53,132.62,135.3,137.61,139.62,141.36,142.87,144.2,145.36,146.39,147.29,148.09,148.8,149.43,149.99,150.5,150.95,151.36,151.72,152.05,152.34,152.61,152.85,153.07,153.26,153.44,153.6,153.75,153.88,154,154.11,154.21,154.3,154.38,154.46,154.53,154.59,154.64,154.69,154.74,154.78,154.82,154.86,154.89,154.92,154.95,154.97,154.99,0
0,0,0.01,0.023407,0.054748,0.12783,0.29724,0.68467,1.5434,3.3168,6.4664,6.1015,5.6799,5.2253,4.7585,4.2958,3.8496,3.4282,3.0369,2.6784,2.3534,2.0614,1.8008,1.5697,1.3657,1.1864,1.0291,0.89176,0.77196,0.6677,0.57712,0.49853,0.43041,0.37144,0.32043,0.27633,0.23824,0.20535,0.34738,0.58132,0.9556,1.5267,2.3356,3.3604,4.473,5.459,6.1195,6.3673,6.2401,5.8462,5.3045,4.7096,4.1238,3.5814,3.0978,2.6761,2.3134,2.0038,1.7403,1.5163,1.3256,1.1628,1.0233,0.90342,0.79991,0.71019,0.63211,0.56392,0.50413,0.45154,0.40513,0.36406,0.32762,0.29521,0.26631,0.24049,0.21738,0.19666,0.17805,0.16132,0.14625,0.13267,0.12041,0.10934,0.099326,0.090266,0.082062,0.074627,0.067886,0.061771,0.05622,0.051179,0.0466,0.042438,0.038655,0.035215,0.032085,0.029239,0.026649,0.024294,0.022153,0
0,-0.00029636,-0.00069158,-0.0016126,-0.0037538,-0.0087048,-0.020003,-0.044954,-0.095628,-0.056356,-0.053159,-0.049486,-0.04554,-0.041496,-0.037494,-0.033638,-0.03,-0.026624,-0.023534,-0.020735,-0.018222,-0.015983,-0.013999,-0.01225,-0.010715,-0.0093713,-0.0081991,-0.0071788,-0.0062924,-0.0055237,-0.0048579,-0.004282,-0.0037844,-0.0033547,-0.0029841,-0.0026645,-0.0063744,-0.01029,-0.016711,-0.026913,-0.042278,-0.063488,-0.089145,-0.11504,-0.13586,-0.14825,-0.15196,-0.14876,-0.141,-0.13069,-0.11927,-0.10771,-0.096577,-0.08619,-0.076704,-0.068164,-0.060552,-0.053814,-0.047876,-0.042655,-0.038071,-0.034047,-0.030512,-0.027403,-0.024664,-0.022248,-0.020111,-0.018218,-0.016538,-0.015044,-0.013712,-0.012523,-0.01146,-0.010508,-0.0096539,-0.0088868,-0.0081968,-0.0075755,-0.0070154,-0.00651,-0.0060534,-0.0056407,-0.0052673,-0.0049292,-0.0046228,-0.0043451,-0.0040932,-0.0038646,-0.0036569,-0.0034682,-0.0032965,-0.0031401,-0.0029972,-0.0028661,-0.0027447,-0.0026304,-0.0025193,-0.0024053,-0.0022781,-0.0021195,-0.0018967,0
0,-0.00029628,-0.00069112,-0.0016101,-0.0037403,-0.008633,-0.019631,-0.043153,-0.088223,-0.053408,-0.050447,-0.047056,-0.043415,-0.039677,-0.035966,-0.032376,-0.028973,-0.025799,-0.022878,-0.020219,-0.01782,-0.015672,-0.01376,-0.012067,-0.010576,-0.0092659,-0.0081196,-0.0071189,-0.0062475,-0.00549,-0.0048328,-0.0042633,-0.0037704,-0.0033444,-0.0029764,-0.0026588,-0.0063279,-0.010159,-0.016351,-0.025973,-0.04,-0.058583,-0.080126,-0.10122,-0.11802,-0.1281,-0.13113,-0.12838,-0.12171,-0.11281,-0.10299,-0.093077,-0.0836,-0.074821,-0.066853,-0.059713,-0.053363,-0.047742,-0.042777,-0.038392,-0.03452,-0.031097,-0.028065,-0.025377,-0.022988,-0.020861,-0.018965,-0.01727,-0.015754,-0.014396,-0.013176,-0.01208,-0.011093,-0.010204,-0.0094022,-0.0086782,-0.008024,-0.0074322,-0.0068966,-0.0064114,-0.0059716,-0.0055728,-0.0052109,-0.0048824,-0.004584,-0.0043128,-0.0040664,-0.0038423,-0.0036384,-0.0034528,-0.0032837,-0.0031295,-0.0029884,-0.0028588,-0.0027387,-0.0026255,-0.0025153,-0.0024022,-0.0022759,-0.0021181,-0.0018961,0
8296.7,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.4,8288.5,8288.6,8288.9,8289.4,8290.4,8292.5,8296.7
8305,8291.6,8291.6,8291.6,8291.6,8291.6,8291.6,8291.6,8291.7,8291.9,8292,8292.1,8292.2,8292.3,8292.4,8292.5,8292.5,8292.6,8292.7,8292.7,8292.8,8292.8,8292.8,8292.9,8292.9,8292.9,8292.9,8292.9,8293,8293,8293,8293,8293,8293,8293,8293,8293,8293,8293,8293,8293.1,8293.2,8293.4,8293.7,8294.1,8294.5,8295.1,8295.7,8296.4,8297,8297.7,8298.3,8298.9,8299.4,8299.9,8300.4,8300.8,8301.2,8301.6,8301.9,8302.2,8302.4,8302.7,8302.9,8303.1,8303.2,8303.4,8303.6,8303.7,8303.8,8303.9,8304,8304.1,8304.2,8304.3,8304.3,8304.4,8304.4,8304.5,8304.5,8304.6,8304.6,8304.7,8304.7,8304.7,8304.7,8304.8,8304.8,8304.8,8304.8,8304.9,8304.9,8304.9,8304.9,8304.9,8304.9,8304.9,8304.9,8304.9,8304.9,8305,8305
8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305,8305
1115.6,1116.1,1116.7,1118.1,1121.4,1129,1145.9,1180.9,1240.5,1200.8,1198.8,1195.8,1192,1187.5,1182.6,1177.5,1172.2,1167,1162,1157.2,1152.6,1148.5,1144.6,1141.2,1138,1135.2,1132.7,1130.5,1128.5,1126.8,1125.3,1124,1122.9,1121.9,1121,1120.3,1128.9,1137.9,1152.2,1174.1,1204.7,1241.5,1276.2,1297.1,1299.2,1288.1,1274.1,1264.7,1262.5,1266.5,1274.2,1283.1,1291.2,1297.1,1300.1,1300.2,1297.5,1292.6,1285.9,1278,1269.3,1260.1,1250.8,1241.5,1232.5,1223.8,1215.5,1207.7,1200.4,1193.5,1187.2,1181.3,1175.8,1170.7,1166.1,1161.8,1157.9,1154.3,1150.9,1147.9,1145.1,1142.6,1140.2,1138.1,1136.2,1134.4,1132.7,1131.3,1129.9,1128.6,1127.5,1126.5,1125.5,1124.6,1123.8,1123,1122.3,1121.5,1120.6,1119.5,1118,1115.6
0,0.00041472,0.00096708,0.0022518,0.0052256,0.01203,0.027167,0.058513,0.11192,0.076355,0.074579,0.071892,0.06846,0.064461,0.060068,0.055448,0.050745,0.046083,0.04156,0.03725,0.033205,0.029457,0.026021,0.022901,0.020089,0.017573,0.015334,0.013352,0.011605,0.010069,0.0087252,0.0075513,0.0065285,0.0056392,0.0048671,0.004198,0.011917,0.019944,0.032806,0.052414,0.079824,0.11287,0.14394,0.16271,0.16458,0.15464,0.1421,0.13368,0.13167,0.13523,0.14217,0.15018,0.15741,0.16267,0.16537,0.16542,0.16305,0.15865,0.15267,0.14557,0.13774,0.12952,0.12116,0.11286,0.10477,0.096991,0.089579,0.082577,0.076003,0.069862,0.064147,0.058847,0.053944,0.049419,0.045248,0.041411,0.037884,0.034647,0.031677,0.028954,0.02646,0.024177,0.022086,0.020174,0.018425,0.016826,0.015364,0.014028,0.012807,0.01169,0.010669,0.0097343,0.0088769,0.0080868,0.0073525,0.0066586,0.005982,0.0052856,0.0045056,0.0035294,0.0021527,0
