28.006,27.998,27.989,27.966,27.915,27.797,27.524,26.9,25.494,26.359,26.368,26.406,26.47,26.555,26.654,26.764,26.878,26.992,27.103,27.209,27.307,27.397,27.478,27.55,27.614,27.671,27.719,27.762,27.798,27.83,27.857,27.879,27.899,27.916,27.93,27.941,27.825,27.71,27.522,27.218,26.735,25.986,24.875,23.348,21.485,19.576,18.004,17.011,16.612,16.693,17.119,17.769,18.549,19.391,20.244,21.075,21.861,22.59,23.255,23.855,24.392,24.868,25.288,25.656,25.978,26.258,26.501,26.712,26.894,27.052,27.187,27.304,27.404,27.49,27.564,27.628,27.682,27.729,27.769,27.803,27.832,27.857,27.879,27.897,27.913,27.926,27.938,27.948,27.956,27.963,27.969,27.975,27.979,27.983,27.986,27.989,27.992,27.994,27.997,27.999,28.002,28.006
1115.6,1115.3,1114.9,1114,1112,1107.3,1096.4,1071.6,1015.6,1050,1050.4,1051.9,1054.4,1057.8,1061.8,1066.1,1070.7,1075.2,1079.7,1083.9,1087.8,1091.4,1094.6,1097.5,1100,1102.3,1104.2,1105.9,1107.3,1108.6,1109.7,1110.6,1111.4,1112,1112.6,1113,1108.4,1103.8,1096.3,1084.2,1065,1035.1,990.91,930.06,855.86,779.81,717.2,677.65,661.74,664.98,681.93,707.81,738.91,772.45,806.43,839.51,870.82,899.86,926.37,950.28,971.66,990.62,1007.3,1022,1034.8,1046,1055.7,1064.1,1071.3,1077.6,1083,1087.6,1091.6,1095.1,1098,1100.5,1102.7,1104.6,1106.2,1107.5,1108.7,1109.7,1110.5,1111.3,1111.9,1112.4,1112.9,1113.3,1113.6,1113.9,1114.2,1114.4,1114.6,1114.7,1114.8,1115,1115.1,1115.2,1115.2,1115.3,1115.5,1115.6
8.2919,2.8972,2.8877,2.8798,2.8755,2.8797,2.9033,2.9716,3.1405,3.2476,3.3542,3.4581,3.5575,3.651,3.7374,3.816,3.8865,3.9489,4.0035,4.0505,4.0905,4.1242,4.1521,4.1749,4.1931,4.2073,4.218,4.2257,4.2308,4.2337,4.2346,4.234,4.2319,4.2286,4.2244,4.2193,4.2224,4.2338,4.2587,4.3053,4.3865,4.5213,4.7359,5.061,5.5227,6.1279,6.8548,7.6612,8.5006,9.334,10.134,10.882,11.57,12.194,12.754,13.252,13.693,14.08,14.419,14.715,14.973,15.196,15.389,15.556,15.701,15.825,15.932,16.024,16.102,16.17,16.228,16.278,16.321,16.358,16.389,16.416,16.439,16.458,16.475,16.49,16.502,16.513,16.522,16.529,16.536,16.541,16.546,16.549,16.552,16.553,16.552,16.546,16.532,16.501,16.438,16.31,16.053,15.537,14.504,12.435,8.2935,8.2919
0,0.00018166,0.00042065,0.00097323,0.0022472,0.0051649,0.011745,0.026051,0.054545,0.035151,0.033851,0.032088,0.02998,0.027646,0.025196,0.022723,0.020303,0.017993,0.015833,0.013845,0.012042,0.010424,0.0089877,0.0077223,0.0066155,0.0056528,0.0048198,0.004102,0.0034856,0.0029579,0.0025072,0.0021232,0.0017965,0.001519,0.0012837,0.0010842,0.0030376,0.0049629,0.0080467,0.012885,0.020224,0.030754,0.044566,0.060259,0.0745,0.083454,0.08559,0.082367,0.076249,0.06907,0.061809,0.054901,0.048511,0.04269,0.037436,0.032727,0.028532,0.024814,0.021532,0.018648,0.016123,0.013918,0.011999,0.010333,0.0088888,0.0076398,0.0065613,0.0056313,0.0048304,0.0041414,0.0035491,0.0030404,0.0026038,0.0022293,0.0019083,0.0016331,0.0013974,0.0011955,0.0010227,0.00087473,0.00074812,0.00063978,0.0005471,0.00046782,0.0004,0.000342,0.00029241,0.00024999,0.00021372,0.00018271,0.0001562,0.00013353,0.00011415,9.7584e-05,8.3419e-05,7.131e-05,6.0959e-05,5.211e-05,4.4546e-05,3.8081e-05,3.2555e-05,0
0,10,23.164,53.636,124.07,286.38,657.65,1492.6,3297.5,6851.2,6595.4,6242.9,5818.8,5348.7,4856.3,4361.8,3880.7,3424.7,3001.1,2614.2,2265.5,1954.7,1680.4,1440,1230.8,1049.5,893.31,759.1,644.19,546.04,462.4,391.25,330.82,279.56,236.12,199.36,168.25,276.04,450.63,729.64,1165.9,1824.1,2761.2,3977.9,5344.3,6570.5,7326.8,7462.5,7074.3,6377,5564.9,4762.1,4030.8,3393.1,2850.1,2393.4,2011.6,1693,1427.1,1204.8,1018.8,862.62,731.34,620.73,527.36,448.43,381.59,324.92,276.82,235.95,201.2,171.63,146.44,124.99,106.7,91.105,77.802,66.45,56.762,48.49,41.428,35.397,30.246,25.846,22.087,18.875,16.131,13.786,11.783,10.071,8.6074,7.3569,6.2881,5.3747,4.594,3.9267,3.3564,2.869,2.4523,2.0962,1.7919,0
0,18.164,42.053,97.255,224.34,514.46,1163.8,2551.2,5202.5,3169.8,2945.2,2697.3,2439.3,2182,1933.6,1699.9,1484.3,1288.8,1113.6,958.39,822.01,703.03,599.83,510.75,434.16,368.53,312.45,264.63,223.95,189.38,160.05,135.19,114.15,96.345,81.294,68.576,191.92,312.6,504.33,801.08,1241.1,1849.2,2597.3,3355.4,3898.4,4041.6,3799.1,3343.1,2839.9,2376.3,1979.7,1649.7,1377.7,1153.5,968.38,814.89,687.19,580.58,491.3,416.34,353.24,300.03,255.06,217,184.74,157.37,134.13,114.36,97.542,83.224,71.027,60.631,51.767,44.206,37.755,32.249,27.549,23.536,20.11,17.183,14.683,12.547,10.723,9.1639,7.8318,6.6936,5.7209,4.8896,4.1792,3.5721,3.0532,2.6097,2.2306,1.9067,1.6297,1.3931,1.1908,1.0178,0.87005,0.74374,0.63579,0
1e+05,99990,99972,99930,99833,99608,99094,97930,95379,90176,87006,84061,81364,78925,76743,74809,73109,71625,70336,69222,68264,67442,66739,66139,65628,65194,64826,64513,64249,64025,63835,63675,63540,63426,63330,63248,63180,62988,62675,62171,61370,60129,58279,55682,52327,48428,44387,40588,37245,34405,32029,30049,28399,27021,25868,24900,24085,23397,22817,22326,21909,21556,21256,21001,20784,20599,20442,20308,20193,20096,20013,19942,19881,19829,19785,19747,19715,19687,19664,19644,19627,19612,19599,19589,19579,19572,19565,19559,19554,19550,19547,19543,19541,19539,19537,19535,19534,19533,19532,19531,19530,1e+05
0,0,4.99,16.549,43.313,105.23,248.13,576.3,1321.1,2966.6,6385.4,9676.5,12792,15695,18364,20788,22964,24901,26610,28107,29412,30542,31517,32356,33075,33689,34212,34658,35037,35358,35631,35862,36057,36222,36361,36479,36579,36663,36800,37025,37389,37971,38881,40259,42244,44911,48190,51846,55570,59100,62282,65059,67435,69446,71139,72562,73756,74760,75605,76317,76918,77426,77857,78222,78531,78794,79018,79209,79371,79509,79627,79727,79813,79886,79948,80001,80047,80086,80119,80147,80171,80192,80210,80225,80238,80249,80258,80266,80273,80279,80284,80288,80292,80295,80298,80300,80302,80304,80305,80306,80307,0
0,0,0.01,0.033164,0.0868,0.21087,0.49725,1.1549,2.6475,5.9451,12.796,19.392,25.635,31.453,36.802,41.659,46.02,49.901,53.326,56.327,58.941,61.207,63.161,64.842,66.282,67.512,68.562,69.455,70.214,70.859,71.405,71.867,72.258,72.589,72.869,73.105,73.304,73.472,73.748,74.199,74.929,76.095,77.919,80.68,84.658,90.002,96.573,103.9,111.36,118.44,124.81,130.38,135.14,139.17,142.56,145.41,147.81,149.82,151.51,152.94,154.14,155.16,156.03,156.76,157.38,157.9,158.35,158.73,159.06,159.34,159.57,159.77,159.95,160.09,160.22,160.32,160.41,160.49,160.56,160.62,160.66,160.71,160.74,160.77,160.8,160.82,160.84,160.85,160.87,160.88,160.89,160.9,160.91,160.91,160.92,160.92,160.93,160.93,160.93,160.93,160.94,0
0,0,0.01,0.023164,0.053636,0.12407,0.28638,0.65765,1.4926,3.2975,6.8512,6.5954,6.2429,5.8188,5.3487,4.8563,4.3618,3.8807,3.4247,3.0011,2.6142,2.2655,1.9547,1.6804,1.44,1.2308,1.0495,0.89331,0.7591,0.64419,0.54604,0.4624,0.39125,0.33082,0.27956,0.23612,0.19936,0.16825,0.27604,0.45063,0.72964,1.1659,1.8241,2.7612,3.9779,5.3443,6.5705,7.3268,7.4625,7.0743,6.377,5.5649,4.7621,4.0308,3.3931,2.8501,2.3934,2.0116,1.693,1.4271,1.2048,1.0188,0.86262,0.73134,0.62073,0.52736,0.44843,0.38159,0.32492,0.27682,0.23595,0.2012,0.17163,0.14644,0.12499,0.1067,0.091105,0.077802,0.06645,0.056762,0.04849,0.041428,0.035397,0.030246,0.025846,0.022087,0.018875,0.016131,0.013786,0.011783,0.010071,0.0086074,0.0073569,0.0062881,0.0053747,0.004594,0.0039267,0.0033564,0.002869,0.0024523,0.0020962,0
